plant_id,maternal_accession,lineage,date_sown,date_planted,location,latitude,longitude,zone,aspect,distance_mulefat,direction_mulefat,height,large_stems,flowering_stems,viable_infructescences,inviable_infructescences,vigor,soil_additives,notes,rain_notes
707,B29R,9,12/11/18,10/31/19,Plover Area,34.41850166,-119.8765369,Slope,S,2,N,47,3,0,0,,1,,,
709,B29R,9,12/11/18,10/31/19,Plover Area,34.41849795,-119.8765153,Slope,S,1,E,13,1,0,0,,3,,Looks like a rodent has been eating it (11/12/2019),
716,B29R,18,1/9/19,11/21/19,Plover Area,34.41847821,-119.8764889,Slope,N,2.5,NW,18,2,0,0,,2,4 double handfuls sifted compost mixed in bottom of hole,Broken branch ,
802,B29R,9,12/11/18,10/31/19,Plover Area,34.41853975,-119.8765609,Slope,N,2,NW,59,3,0,0,,1,,,
803,B29R,9,12/11/18,10/31/19,Plover Area,34.41852804,-119.8765527,Slope,S,1,E,11,3,0,0,,1,,,
804,B29R,9,12/11/18,10/31/19,Plover Area,34.4185136,-119.8765477,Slope,N,1,N,60,2,0,0,,1,7 Double handfuls Lagoon Island Loam mixed in bottom of hole,,
809,B29R,9,12/11/18,10/31/19,Plover Area,34.41853155,-119.8765143,Ridge,N,0.5,N,28,3,0,0,,1,,,
812,B29R,9,12/11/18,10/31/19,Plover Area,34.41853265,-119.8765017,Ridge,N,1,W,48,3,1,2,,2,7 Double handfuls Lagoon Island Loam mixed in bottom of hole,,F. perennis nearby
813,B29R,9,12/11/18,10/31/19,Plover Area,34.41852012,-119.8764951,Slope,S,1,NW,17,1,0,0,,2,,,
815,B29R,9,12/11/18,10/31/19,Plover Area,34.41853684,-119.8764778,Slope,N,1,E,48,3,0,0,,2,5 Double handfuls Lagoon Island Loam mixed in bottom of hole,Spinosad applied,
818,B29R,9,12/11/18,10/31/19,Plover Area,34.41853095,-119.8764411,Slope,S,1,W,34,3,1,2,,2,,,
821,B29R,9,12/11/18,10/31/19,Plover Area,34.41854615,-119.8764052,Swale,N,1,S,32,3,1,2,1,2,,,
822,B29R,9,12/11/18,10/31/19,Plover Area,34.41853471,-119.8764028,Swale,S,1,E,11,3,0,0,,2,,,
902,B29R,9,12/11/18,10/31/19,Plover Area,34.41855151,-119.8765511,Slope,N,1.5,NE,9,1,0,0,,2,7 Double handfuls Lagoon Island Loam mixed in bottom of hole,Earthworms in pot; Smaller than most others,
104,B4001,1,12/11/18,10/18/19,Plover Area,34.4182049,-119.8764601,Slope,N,1.5,NE,60,3,1,5,,2,,,"Roots exposed, soil highly eroded"
107,B4001,1,12/11/18,10/18/19,Plover Area,34.41822221,-119.8764463,Swale,N,1,SE,62,3,1,3,,1,,Spinosad applied,
108,B4001,1,12/11/18,10/18/19,Plover Area,34.41820267,-119.8764306,Slope,S,1.5,SE,64,2,1,6,,1,,,In swale/muddy area
114,B4001,1,12/11/18,10/18/19,Plover Area,34.41821593,-119.8763994,Swale,S,1,E,67,2,1,1,,1,,,
219,B4001,1,12/11/18,10/24/19,Plover Area,34.41828359,-119.8764395,Ridge,S,2,W,39,4,1,6,,2,,,ladybug found on leaves
303,B4001,15,1/9/19,11/21/09,Plover Area,34.41832265,-119.8765428,Ridge,N,4.5,E,80,1,0,0,,2,,,
310,B4001,15,1/9/19,11/21/09,Plover Area,,,Ridge,S,2,NE,20,1,0,0,,2,,,
322,B4001,1,12/11/18,10/24/19,Plover Area,34.41830218,-119.8764451,Slope,N,1.5,W,62,3,1,9,,1,,Spinosad applied,
328,B4001,15,1/9/19,11/21/09,Plover Area,34.41833884,-119.876427,Swale,N,3.5,SE,24,1,1,3,,1,,,
405,B4001,1,1/9/19,10/31/19,Plover Area,34.41835624,-119.8765315,Swale,S,1,NW,61,3,1,6,,2,1 Double handful Lagoon Island Loam mixed in bottom of hole,,
407,B4001,1,12/11/18,10/24/19,Plover Area,34.41833955,-119.876517,Ridge,S,3.5,NW,64,3,1,3,,1,,,
410,B4001,1,12/11/18,10/31/19,Plover Area,34.41835764,-119.8765072,Swale,S,1.5,NW,22,2,0,0,,2,7 Double handfuls Lagoon Island Loam mixed in bottom of hole,Spinosad applied,
413,B4001,15,1/9/19,11/21/09,Plover Area,34.41834135,-119.8764865,Swale,N,3,SE,17,1,1,0,1,2,,,
416,B4001,1,12/11/18,10/31/19,Plover Area,34.4183685,-119.8764648,Slope,S,1,W,57,2,1,4,,1,,,
609,B4001,1,12/11/18,10/31/19,Plover Area,34.4184237,-119.8765355,Slope,S,1.5,SW,18,3,0,0,,2,,,
612,B4001,15,1/9/19,11/21/19,Plover Area,34.41845607,-119.8765247,Ridge,S,4,S,41,1,0,0,,1,3 double handfuls sifted compost mixed in bottom of hole,,
614,B4001,15,1/9/19,11/21/19,Plover Area,34.41844515,-119.876514,Slope,S,3,SE,45,1,1,3,,1,,,
727,B4001,15,1/9/19,11/21/19,Plover Area,34.41846268,-119.8764192,Slope,N,6.5,W,26,1,0,0,,1,,,S. pacifica nearby
1001,B4001,15,1/9/19,11/21/19,Plover Area,34.41858886,-119.8765741,Slope,S,5.5,NE,40,3,1,5,1,2,,,
1004,B4001,15,1/9/19,11/21/19,Plover Area,34.4185778,-119.8765453,Slope,S,3,NE,32,2,1,2,,1,,,high amount of silt
1005,B4001,15,1/9/19,11/21/19,Plover Area,34.41858519,-119.8765444,Ridge,N,3.5,NE,74,2,1,3,,1,,,
1008,B4001,15,1/9/19,11/21/19,Plover Area,34.41858144,-119.8765199,Slope,S,1.5,SE,37,2,0,0,,2,,,
1019,B4001,15,1/9/19,11/21/19,Plover Area,34.41859739,-119.8764628,Ridge,N,6,E,57,1,1,2,,2,,,
1104,B4001,15,1/9/19,11/21/19,EEM Willows,34.4181573,-119.8814287,Slope,S,n/a,n/a,31,1,0,0,,2,,,
1106,B4001,15,1/9/19,11/21/19,EEM Willows,34.41816765,-119.8812796,Ridge,N,n/a,n/a,79,2,0,0,,2,,,
